,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,tags,counts_rv_eng,all_time_peak,24h_peak
0,340,Half-Life 2: Lost Coast,Valve,Valve,,9464,1270,0,"20,000,000 .. 50,000,000",102,0,25,0,0,0,0,23,"['FPS', 'Action', 'Singleplayer', 'First-Person', 'Sci-fi', 'Shooter', 'Short', 'Aliens', 'Dystopian', 'Classic', 'Adventure', 'Atmospheric', 'Benchmark', 'Futuristic', 'Silent Protagonist', 'Free to Play', 'Multiplayer', 'Post-apocalyptic', 'Story Rich', 'Great Soundtrack']",5520,153,18
1,272060,Serena,Senscape,Senscape,,4872,1433,0,"10,000,000 .. 20,000,000",792,0,30,0,0,0,0,2,"['Horror', 'Free to Play', 'Indie', 'Point & Click', 'Psychological Horror', 'Adventure', 'Story Rich', 'Dark', 'Short', 'First-Person', 'Mystery', 'Atmospheric', 'Multiplayer', 'Singleplayer', 'Puzzle', 'Walking Simulator', 'Co-op', 'Hidden Object', 'Romance', 'Nudity']",4285,869,2
2,301520,Robocraft,Freejam,Freejam,,86121,32453,0,"10,000,000 .. 20,000,000",1381,7012,157,7012,0,0,0,321,"['Free to Play', 'Robots', 'Building', 'Multiplayer', 'Action', 'Shooter', 'PvP', 'Massively Multiplayer', 'Sandbox', 'Crafting', 'Third-Person Shooter', 'Sci-fi', 'Strategy', 'Simulation', 'Early Access', 'Indie', 'Open World', 'Funny', 'Adventure', 'RPG']",57581,26598,257
3,433850,Z1 Battle Royale,Daybreak Game Company,Daybreak Game Company,,115337,92630,0,"10,000,000 .. 20,000,000",2691,23,156,23,0,0,0,127,"['Survival', 'Massively Multiplayer', 'Multiplayer', 'Open World', 'Battle Royale', 'PvP', 'FPS', 'Action', 'Shooter', 'Free to Play', 'Third-Person Shooter', 'Zombies', 'Co-op', 'Early Access', 'Online Co-Op', 'Adventure', 'First-Person', 'Violent', 'Gore', 'Walking Simulator']",58591,150179,117
4,275390,Guacamelee! Super Turbo Championship Edition,DrinkBox Studios,DrinkBox Studios,,5548,451,0,"5,000,000 .. 10,000,000",414,130,90,130,1499,1499,0,33,"['Metroidvania', '2D', 'Platformer', 'Action', 'Colorful', 'Indie', 'Local Co-Op', 'Adventure', 'Funny', ""Beat 'em up"", 'Co-op', 'Comedy', 'Great Soundtrack', 'Singleplayer', '4 Player Local', 'Wrestling', 'Local Multiplayer', 'Side Scroller', 'Action-Adventure', 'Memes']",2499,2687,31
5,96000,The Tiny Bang Story,Colibri Games,Colibri Games,,5230,741,0,"5,000,000 .. 10,000,000",295,0,303,0,499,499,0,14,"['Point & Click', 'Puzzle', 'Hand-drawn', 'Steampunk', 'Retro', 'Atmospheric', '2D', 'Story Rich', 'Casual', 'Family Friendly', 'Cute', 'Stylized', 'Surreal', 'Adventure', 'Singleplayer', 'Hidden Object', 'Indie', 'Minigames', 'Logic', 'Relaxing']",2323,163735,64
6,370910,Kathy Rain,Clifftop Games,Raw Fury,,3237,261,0,"5,000,000 .. 10,000,000",1023,0,268,0,1499,1499,0,7,"['Point & Click', 'Adventure', 'Pixel Graphics', 'Female Protagonist', 'Mystery', 'Indie', 'Detective', 'Singleplayer', 'Story Rich', 'Psychological Horror', 'Noir', 'Puzzle', 'Retro', 'RPG', 'Hand-drawn', 'Third Person', 'Atmospheric', 'Supernatural', 'Choices Matter', 'Exploration']",2080,336132,28
7,360,Half-Life Deathmatch: Source,Valve,Valve,,2464,842,0,"5,000,000 .. 10,000,000",574,0,9,0,999,999,0,15,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Sci-fi', 'First-Person', 'Classic', 'Remake', 'Adventure', 'Fast-Paced', 'Competitive', 'Horror', 'Atmospheric', 'Singleplayer']",1557,71,10
8,333930,Dirty Bomb,Splash Damage,Warchest Ltd.,,47139,10885,0,"5,000,000 .. 10,000,000",536,22,69,22,0,0,0,162,"['Hero Shooter', 'Free to Play', 'FPS', 'Multiplayer', 'Shooter', 'Action', 'Team-Based', 'First-Person', 'Fast-Paced', 'Co-op', 'PvP', 'Class-Based', 'Competitive', 'Massively Multiplayer', 'Parkour', 'Post-apocalyptic', 'Controller', 'Singleplayer', 'Open World', 'Gore']",34913,12963,149
9,40,Deathmatch Classic,Valve,Valve,,1950,433,0,"5,000,000 .. 10,000,000",244,0,7,0,499,499,0,5,"['Action', 'FPS', 'Classic', 'Multiplayer', 'Shooter', 'First-Person', 'Arena Shooter', 'Old School', 'Sci-fi', 'Competitive', 'Fast-Paced', 'Retro', 'Gore', 'Co-op', 'Difficult', ""1990's""]",1310,627,6
