,0
0,"It's quite the interesting listen from Valve. 2005 was certainly different and while these ""technologies"" aren't nearly as impressive as the stuff we've seen today... it is very nice to see that these additions to the source engine can be seen across the board today."
1,"Cut content from the Highway 17 chapter in Half-Life 2 (Highway 17's development name was ""Coast"", hence the name ""Lost Coast""). Made to show off High Dynamic Range lighting, and served as a testbed for Valve's commentary system."
2,It is a fast paced version of the larger game that gets you used to how things work'
3,short AF
4,Managed to escape the feast of leeches by fading away into the void
5,"too short
(clueless as to the fact it was a demo)"
6,"This is not a game! This is a tech demo from 2003, which shows the capabilities of the new (for the time) features in the Source engine. This included HDR and the commentary nodes. This is an incredibly short demo and I recommend enabling commentary for your first run through. The environment looks great and the Valve team commentary on water reflections and HDR within Source was really interesting. I recommend this if you're interested in game documentation and how game developers create sections of games."
7,Cant wait for Half life 3
8,"It's good to read the reviews before playing. If you go into this expecting Half Life 2: Episode 3, you'll be disappointed.

However, if you expect a short tech demo with interesting dev commentary, you'll be pleased. That's what it is and it's done very well."
9,"Quite enjoyable. Unfortunately, it is also very very short."
10,It's a great demonstration of what the source engine can do. I really wish there was more content to the game.
11,Nice
12,the more half life the better
13,coast located i win
14,"A free inclusion to look at the development of Valves games, a great 20 min play on the cliffs."
15,"This was too easy and too short, i found the coast as soon as i started"
16,This is the most emotionally charged one of all the games in the Half-Life franchise. I cried when the funny old man did the funny. 10/10
17,fish
18,"Basically a tech demo that does not look now so impressive, but for 2005 it was :)
Small level, 20 mins of gameplay."
19,"This game is pretty, can't wait until it turns 18"
20,i found it
21,I broke it.
22,Father Gregory retires and becomes a fisherman.
23,"wayy to graphic, ejaculated when saw fisherdude"
24,2009 Toyota Corolla
25,"I bought the Orange Box before it was free back in 2009 or 2010. I was maybe 9 or 10 years old. This is a nostalgic little game indeed. Very short, could maybe even consider it a full length demo. Definitely worth playing through once or twice."
26,funny hdr valve game
27,"this would be better if it was longer. BUT...i liked the gameplay. 9.5/10
"
28,scared the fuck outta me whenever this game was on my computer and I didn't see the actual half life 2
29,I found the Coast. Fisherman/10
30,idk why but this made me paranoid might be because im paranoid right now idk
31,This is a fun but short little demo for the HDR technology implemented in the source engine. If you liked Half-Life 2 and want more then you should play this. The location of a beach town with a monastery is unique and looks great and the gunfights feature a lot of verticality because of the cliff walls which was something never really seen in the base game. Also check out the developer commentary because it's rather interesting.
32,why the hell is this game getting updated?
33,"Best Half-Life game, maybe even the best game of all Time 10/10 this game changed my life, oped my third eye. and made me a zillionar. Would Recommend"
34,it's somewhat similar to the Half-Life: Uplink demo
35,good boat
36,half-life 2: one thing i dont know why
37,Me when the coast is lost
38,I've made love longer then it took me to finish this.
39,fishman
40,d
41,e
42,"i didnt get leeches, 0 gordon fishman's out of 10"
43,my favorite part is when gordon becomes a fishman
44,"Tech demo, this was the real shit back in the days and still is today"
45,"good tech demo, i rlly like the fisherman"
46,i love half life and i always enjoy playing but this short game should have been free and its not worth buying
47,.
48,it's really meh
49,the coast is clearly there though
50,i rate it voice commentary out of 10
51,"""the more things change the more they stay the same"" bounderys shift new players step in but power allways finds a place to rest its head"" ""we foute and bleed next to the russians and we should have known that they would hate us for it"" ""history is riten by the victor and here i am thinking we won"" ""but you bring down one enemy and they find some one even worse to replase them"" locations change the rashinal the objective yesterdays enemys are todays recruits train them to fight alonge sid you and pray they dont deside to hate you for it too"" general shepherd modern warfare 2....
"
52,eh it's okay it's like 25 minutes short
53,Great classic tech demo with a nice action sequence.
54,Its a pretty good tech demo. But its not a good game.
55,nice just really short
56,Even if you're not into learning the technical parts of the making of Half-Life 2 it's still a nice short Half-Life 2 level.
57,"It was a great experience to hear from the developers' mouths the stages of the game, their imaginations and what they wanted to do.It was a nice mini-chapter where they introduced their new technologies to us. Grateful for this experience"
58,"a strange dlc. i enjoyed the commentary, but thats about all this dlc has gong for it.

also a good way to run a stress test on lower end hardware."
59,Short but sweet
60,"Hearing Gaben talk about Half life on a coast (lost) was truly an experience. 10/10 would play again very good. 

also don`t forget to send an email to gaben at the end of the ""game""  about your framerate :D"
61,hdr is good
62,good but not worth buying
63,Its a good demo
64,climb a rock and explode an alien ship. 10.10
65,: )
66,when the coast is lost:
67,Litteraly Croatia level
68,It's interesting to hear and see how some of hl2 works in terms of performance and level design. It would be interesting to see this for other games.
69,"When the coast is lost 
7/10"
70,"it was and it's still short game
this is so short shorter than demo lol"
71,yes
72,I spent hours looking for the Lost Coat but couldn't find it. Still enjoyed it!
73,This game is: ☑Informative ☑Useful ☑Heartwarming ☑Inspiring ☑Calming ☑Life-changing ☑Enjoyable
74,island freeman
75,This Half-life 2 thing is looking very promising!!!
76,Sexy graphics
77,"Once upon a time me and this old lady got drunk in colombia and we kinda started a massive drug war and then got in some trouble with the colombian government which ended in the destruction of colombian democracy and then i became the somewhat illegitimate dictator of colombia. but unfortunately the americans came to try to restore colombian democracy so in response to this i snorted 2 kg of cocaine and ran at them with a shotgun. i forgot what happened next but according to the US marines/my followers i became a cocaine fueled god and murdered 90% of their platoon. the rest of them started a religion around my highness and marksmanship. then we turned colombia into a new holy land committed to spreading the message of me and my religion. we then converted all of the colombian natives into my followers and conquered venezuela ecuador and panama. we then developed nuclear weapons and bombed all of south america's population centers and then genocided the rest of them with my followers. We united south america and created the greatest era of peace and prosperity in the continent's history. we rivaled the US and china in influence and we spread our religion far and wide and created unrest in the rest of the world until they followed us and joined our empire. after conquering the world and making its population worship me, i connected them all to the internet in an electronic hive mind, and finally i integrated my brain and body with the internet to instructed, control and dominate humanity. i became the Deus Ex Machina, i became the God of the Machine.

oh yeah half life 2 lost coast is fun ig"
78,"KILL TEH OCOMBINE!! DONT LET THEM TAKE THIS BEAUTIFUL ISLAND WITH ITS COOL GRAPHICS!!!




the old man is cool"
