,0
0,Why contain it? S'cool
1,Best
2,cs :)
3,cs1.6 <3
4,Like The Best Game
5,old but gold
6,This game it's a legend
7,Nice memories
8,claSSIC
9,Classic
10,Old but gold.
11,DOOOOOOOOOOOOOR STUUUUUUUUUUUCK
12,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.
13,Truly a trip down memory lane
14,"fez parte da minha infância po, very good"
15,cool
16,CS 1.6 2007
17,Aged great
18,best multiplayer game.
19,It's really good
20,yi
21,Fire in the hole!
22,"this game is absolutly fun when you have a shitttt pc
"
23,"If she doesn't know this game, she is too young for you bro!"
24,conta strik
25,"jucatori fara curent 
"
26,amazing
27,god
28,Best one <3
29,Childhood game <3
30,very fun to play with friends HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
31,its fun but all the players are really good
32,bomb has been planted
33,asd
34,col
35,Es el 1.6 - Como no te va a gustar?
36,I can't recommend this game because it's been a part of my life for over 20 years :( - Headshot!
37,"I love this game, it brings back childhood memories, I've played it through my teenage years and it was the foundation for other FPS games in the industry, valve back then were unbeatable."
38,"reviews with thousands of hours we'll never get back says it all. it's a great addition to have in your steam library, most especially if you grew up playing counter-strike."
39,"Counter-Strike 1.6 is the game which started it all for me. I played CS 1.5 before, but I moved quickly to 1.6 as all of the players in my neighborhood in Karachi, Pakistan were playing 1.6. I got so attached and addicted to it that I even failed my 7th Standard haha.

All in-all, I learnt that games should be taken seriously but not that seriously that one loses in real life. I have both love and hate for this game. I enjoyed a lot. Thanks for the memories."
40,GOAT
41,dogshit game i lost about 3k hours on this shit
42,:)
43,BEST  GAME  EVER
44,Perfect game from the 00's. FPS + moddable.
45,"btata
"
46,noice
47,Best thing about this game is the mods and the server browser. There are no competitive ranks so you just most of the times play for fun. There are custom game modes which Counter Strike Global Offensive doesn't have.
48,simply the best
49,good
50,real bate
51,The best game for relax and chill!
52,"GOOD GAME
"
