,0
0,"everyone wants this on steam again
"
1,amazing
2,Rocket League is shit
3,"Football with cars.
Football good.
Cars good.
Game good."
4,Removed from steam lmfao. Good game besides the corpo greed war with it.
5,Physics has never been so fun!
6,bad game
7,yes
8,game is better with beer
9,It's Neat
10,Full teams should get the custom colours no matter if the opposite team is full
11,it's a good game
12,mutty flick
13,"After close to 4000hrs I've decided to leave a review.

The gameplay remains unchanged over the 7 years it's been around. There is the idea of don't mess with a good thing, but the gameplay and game modes haven't grown or evolved at all. The same thing you were doing 7 years ago is the same thing you're doing now and it's pretty stale. Psyonix has tried to add novelty game modes for limited time and thankfully they were limited because they have all been horribly designed and not fun at all. For years I've been wanting A HORSE like game mode for the training packs where you and a friend or friends can go into a training pack together and play HORSE while practicing the training pack shots. It's not much, but it would add a lot of value to the game because training packs are pretty boring by yourself for hours on end. But no, let's add a shitty football game mode to a soccer game with cars. Also, they've had the same exact rumble weapons for since the beginning. Why not add some new ones or change things up by having the weapons cycle each season or every hours or so like Apex Legends does with its map rotations so you have to change up your tactics? These aren't revolutionary ideas, but Psyonix would rather just sit back and do the bare minimum and pump their stale cash cow.

A couple years ago, the game transitioned into a battle pass monetization business model and the game has gotten decidedly worse for it. It used to have a thriving third party trading community, but Psyonix was greedy and wanted a piece of the pie. So they moved to the battle pass structure, changed the in game currency, and limited the in game items to be only purchasable with the new currency. This had three negative outcomes, 1: it completely killed the trading community, 2: they also over inflated the prices of everything so a lot of the cheaper items are now not worth it the effort to trade or the money to buy, and lastly 3: the only real way you can get items now is waiting for them to rotate into the extremely limited item store. The items in the item store rotate out but there's so many items and variations of them that you're going to be waiting a LONG LONG time for the specific item you were looking for, oh and btw if you buy and item in the shop it's not tradable with further added to the destruction of the trading community. Who the hell thought that was a good idea? The majority of the items in the season passes are recycled assets or recycled ideas in some way shape or form which makes it seem like they're not even worth the grind. And it is a grind because you get so little XP for game wins. It's really not even worth your time unless you're actively working on the season pass challenges for the XP boosts.

The most egregious change imo was the shifting of the MMR player rating tiers. Grand Champ used to be the highest rank. Then they finally added Supersonic Legend above Grand Champ along with Grand Champ 1, Grand Champ 2, and Grand Champ 3, and they shifted all the other tiers down in MMR to ""balance the tiers."" This blended Champ 1, Champ 2, and Champ 3 with Grand Champs so now most of the lobbies I play in have Grand Champs and the games become total sweat fests even in casual including triple WHAT A SAVE spams in quick chat.

This used to be my favorite game as you can probably tell from my close to 4000 hours logged. Unfortunately, it's just gotten incredibly stale and the MMR change, the lazy season passes, and lazy devs have turned what used to be my favorite game into something that I only hop into on rare occasions when I get the itch and have forgotten how stay it is."
14,"Rocket league is as intrinsically interesting and naturally beautiful, while also as barren and lifeless are outer space itself. After a combined 13,649 hours across multiple accounts I have some comments. First of all, much like in outer space, the ball never touches the fking ground. Ironically you play the game in a CAR as opposed to a rocket ship and attempting to fly up into the unknown in a fking honda civic after a floating basketball is gdamn impossible. The graphics and the community are pleasing and wholesome. I give it 3/5 stars tbh."
15,"*be me, getting close to champ in rumble*
*gets to last diamond game*
*goes against a preset clan*
*gets 2 random ass teammates*
*lose game*
*still in d3d4 tho*
*next game*
*goes against another premade squad and gets 2 more random ass teammates*
*one teammate leave with 1:30 left and score 2-1 (losing)*
*lose again*
*down to d3d3 again*
FUCK YOU ROCKET LEAGUE AND YOUR SHIT BALANCING SYSTEMS"
16,mechanics are hard. prepare for 5-10 years of studying before playing game effectively
17,who the fuck enjoys this shit game.. (I have 1k on epic games) I'm shit.. so is everyone else.
18,Absolutely
19,slayed
20,Car Footbatt
21,"If a game could be described as so good but so bad at the same time, this would be that game."
22,It is what it is and it’s good at it.
23,gay
24,guut
25,GRET GAM
26,hyvä
27,"It's rocket league. Gameplay doesn't ever really change much... which is awesome! It's very technical and creates an extreme skill ceiling which reflects its extremely competitive pro scene and playerbase. Once Epic acquired it the market all but died off for me, maybe it's different for others but trading up just isn't worth it anymore. That being said do yourself a favor and buy whatever cosmetics you want from other players for a tenth of the price in their ""epic"" shop."
28,a
29,i cant hit the ball i believe there is lag. only possible reason
30,Awesome game
31,coom
32,best
33,"F-u-c-k this game - you will be banned for writing ""you are bad"", ""wtf"" and ""crazy noob"". Never trust the publisher anymore, avoid his products and boycot any game, you will loose your account even if you do not write any hate speech. Ugly!"
34,djmredfkrtk
35,"it used to be addiction, wasting time now...
but still good"
36,Good gameplay and fun as long as your with friends
37,"Great game, it feels awesome to set up fun pass plays with your bros. The controls are responsive! Very responsive. It's a sick competitive game."
38,car soccer good
39,Pit of sarrows
40,beautiful game. Learn to hit ball into net and get satisfaction while doing it
41,bad game
42,yes
43,yea
44,bad
45,shit game
46,bigdik energy
47,best game no cap
48,its cool ig
49,its good
50,Shit game full of shitters hate this shit stuttering bullshit un-optimised shitty fucking shit game full of shit things. SHIT!
51,yuh
52,jkjkjkjk
53,Timeless game
54,One word FUN
55,car ball
56,"I won't be playing this anymore, I paid for dlcs just for them to remove them from the game. what a waste of money"
57,Epic finally did something good... They added the civic
58,It's time to close the servers
59,"A classic. Simple and a lot of fun. A ""must"" for every platform."
60,good game
61,Contains enough salt to cause second-hand kidney failure.
62,good
63,Challenging and engaging
64,Yeah it's bad
65,".
"
66,This game is addictive this gamee isvvvverything pls help FU DEV
