,0
0,love throwing radiators at my friends
1,"     I enjoyed playing HL2: DM. A close friend of mine gifted me this game yesterday, and we played it for a few hours. The game was running great, as it was one of the fewest games I know that my computer can actually run. All in all, I enjoyed playing this game yesterday.
     Fast forward to now, I have been experiencing a black screen while the game loads. I restarted the program three times before I researched for solutions; however, none of the solutions worked, so I had to look for solutions myself. First, I tried running a compatibility troubleshooter; that did not work. Then, I tried reducing the color mode; that did not work either. Lastly, I tried running in 640 * 480; none of my solutions worked. I became discombobulated and eventually uninstalled the game.
     In summary, HL2: DM was a fantastic game I played; however, my experience of playing that game lasted one day before I recently experienced a black screen. There is no way I can solve the issue."
2,"Using the gravity gun in a multiplayer context is quite fun. However, this is an old game (from 2004) with a low population (peaks at around 200 concurrent players as of this writing).

Most players will find this in their library due to buying Half-Life 2: Episode One, the Valve Complete Pack, the Half-Life Complete bundle, or the Source Multiplayer Pack bundle. I had fun for the hour I played, though I'm not sure if I will revisit it."
3,Very fun game
4,it's good o\
5,you can't kill people with matches in this game so they dont cause death. false advertising 0/10
6,Takes me way back in my early gaming days when I was just a wee lad. Flicking toilets at each other and bantering with friends and randoms. Global match making and not supporting community servers killed online games.
7,Goooooooooooooooooooooooooooooood back in 2005 ;D
8,"swag
"
9,shit game
10,It makes me sad that no one plays this anymore.
11,Since I hate fps and online gaming it would have taken divine intervention or aliens snatching my body for me to like this game. This one is worse than most: long load times and demanding servers. No thank you.
12,why is this so addicting??
13,bwaaaaaa
14,"A classic, good for a simple unwinding, with gameplay that's both straightforward (shooting) and yet a bit quirky (physics and gravity gun encourage creativity)."
15,"It crashes lately and I dont know why :(
I am on linux 22.04"
16,Best Deathmatch Game! :)
17,the only multiplayer shooter you'll ever need
18,I killed somebody with a literal fucking toilet
19,this game be goofy as hell
20,Love this. Fuck you if you dont.
21,"Fast-paced, battle-royale-like gameplay with amazing weapons like the Gravity Gun, and expansive maps that you want to explore every part of. The most fun I've ever had in a game yet."
22,i was born before this game came out and its still good so go play it
23,i am going mentally insane
24,love it
25,Finally I can let go of my fear of getting a headcrab forcefully attached to my person
26,good game
27,still great fun all these years later.
28,Why is this so fun lol
29,Good old school HL2. Best way to kill some time.
30,"theres only german people
any server you join there will be a naked woman with a website link to donate to the server"
31,"pretty ok game, but it did not age well. now its sorta just a group of 4 dads passing the time"
32,"Average Half Life 2: Deathmatch Enjoyer
⣿⣿⣿⣿⣿⣿⣿⣿⡿⠿⠛⠛⠛⠋⠉⠈⠉⠉⠉⠉⠛⠻⢿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⡿⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠛⢿⣿⣿⣿⣿
⣿⣿⣿⣿⡏⣀⠀⠀⠀⠀⠀⠀⣀⣤⣤⣤⣄⡀⠀⠀⠀⠀⠀⠀⠙⢿⣿⣿
⣿⣿⣿⢏⣴⣿⣷⠀⠀⠀⠀⠀⢾⣿⣿⣿⣿⣿⣿⡆⠀⠀⠀⠀⠀⠀⠈⣿⣿
⣿⣿⣟⣾⣿⡟⠁⠀⠀⠀⠀⠀⢀⣾⣿⣿⣿⣿⣿⣷⢢⠀⠀⠀⠀⠀⠀⢸⣿
⣿⣿⣿⣿⣟⠀⡴⠄⠀⠀⠀⠀⠀⠀⠙⠻⣿⣿⣿⣿⣷⣄⠀⠀⠀⠀⠀⠀⠀⣿
⣿⣿⣿⠟⠻⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠶⢴⣿⣿⣿⣿⣿⣧⠀⠀⠀⠀⠀⠀⣿
⣿⣁⡀⠀⠀⢰⢠⣦⠀⠀⠀⠀⠀⠀⠀⠀⢀⣼⣿⣿⣿⣿⣿⡄⠀⣴⣶⣿⡄⣿
⣿⡋⠀⠀⠀⠎⢸⣿⡆⠀⠀⠀⠀⠀⠀⣴⣿⣿⣿⣿⣿⣿⣿⠗⢘⣿⣟⠛⠿⣼
⣿⣿⠋⢀⡌⢰⣿⡿⢿⡀⠀⠀⠀⠀⠀⠙⠿⣿⣿⣿⣿⣿⡇⠀⢸⣿⣿⣧⢀⣼
⣿⣿⣷⢻⠄⠘⠛⠋⠛⠃⠀⠀⠀⠀⠀⢿⣧⠈⠉⠙⠛⠋⠀⠀⠀⣿⣿⣿⣿⣿
⣿⣿⣧⠀⠈⢸⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠟⠀⠀⠀⠀⢀⢃⠀⠀⢸⣿⣿⣿⣿
⣿⣿⡿⠀⠴⢗⣠⣤⣴⡶⠶⠖⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⡸⠀⣿⣿⣿⣿
⣿⣿⣿⡀⢠⣾⣿⠏⠀⠠⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠛⠉⠀⣿⣿⣿⣿
⣿⣿⣿⣧⠈⢹⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣰⣿⣿⣿⣿
⣿⣿⣿⣿⡄⠈⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣴⣾⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣧⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣷⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣦⣄⣀⣀⣀⣀⠀⠀⠀⠀⠘⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⡄⠀⠀⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠀⠀⠀⠙⣿⣿⡟⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠀⠁⠀⠀⠹⣿⠃⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⡿⠛⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⢐⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⠿⠛⠉⠉⠁⠀⢻⣿⡇⠀⠀⠀⠀⠀⠀⢀⠈⣿⣿⡿⠉⠛⠛⠛⠉⠉
⣿⡿⠋⠁⠀⠀⢀⣀⣠⡴⣸⣿⣇⡄⠀⠀⠀⠀⢀⡿⠄⠙⠛⠀⣀⣠⣤⣤⠄"
33,"it's a good half-life 2 deathmatch game, i recommend it ngl
"
34,"Fun as hell. No bots, but people still play it"
35,A legendary continuation of the no less legendary Half-Life game!
36,Dead Game
37,NVIDIA Bundle
38,i death matched
39,You take big poops in toilets and slam toilets at each other.
40,One of the best frenzy online shooters I've ever experienced.
41,"used to love this game, until the updates destroyed bunnyhopping and ""streamlined"" the game."
42,"toilet throwing game, verry good
:)"
43,"I just have this because I bought the half life collection

its cool i guess idfk"
44,i love it i love it i love it i love it
45,"hits options

game lags

steam vr launches

woah"
46,"nice game, brings me nostalgia"
47,"Laggy, Hackers get spawncamped and shot intantly going anywhere trash game"
48,people kill other people very nice cool 10/10
49,veselo
50,": ⠄⠄⠄⠄ ⠄⠄⠄⠄ ⠄⠄⠄⠄
⠄⠄⡔⠙⠢⡀⠄⠄⠄⢀⠼⠅⠈⢂⠄⠄⠄⠄
⠄⠄⡌⠄⢰⠉⢙⢗⣲⡖⡋⢐⡺⡄⠈⢆⠄⠄⠄
⠄⡜⠄⢀⠆⢠⣿⣿⣿⣿⢡⢣⢿⡱⡀⠈⠆⠄⠄
⠄⠧⠤⠂⠄⣼⢧⢻⣿⣿⣞⢸⣮⠳⣕⢤⡆⠄⠄
⢺⣿⣿⣶⣦⡇⡌⣰⣍⠚⢿⠄⢩⣧⠉⢷⡇⠄⠄
⠘⣿⣿⣯⡙⣧⢎⢨⣶⣶⣶⣶⢸⣼⡻⡎⡇⠄⠄
⠄⠘⣿⣿⣷⡀⠎⡮⡙⠶⠟⣫⣶⠛⠧⠁⠄⠄⠄
⠄⠄⠘⣿⣿⣿⣦⣤⡀⢿⣿⣿⣿⣄⠄⠄⠄⠄⠄
⠄⠄⠄⠈⢿⣿⣿⣿⣿⣷⣯⣿⣿⣷⣾⣿⣷⡄⠄
⠄⠄⠄⠄⠄⢻⠏⣼⣿⣿⣿⣿⡿⣿⣿⣏⢾⠇⠄
⠄⠄⠄⠄⠄⠈⡼⠿⠿⢿⣿⣦⡝⣿⣿⣿⠷⢀⠄
⠄⠄⠄⠄⠄⠄⡇⠄⠄⠄⠈⠻⠇⠿⠋⠄⠄⢘⡆
⠄⠄⠄⠄⠄⠄⠱⣀⠄⠄⠄⣀⢼⡀⠄⢀⣀⡜⠄
⠄⠄⠄⠄⠄⠄⠄⢸⣉⠉⠉⠄⢀⠈⠉⢏⠁⠄⠄
⠄⠄⠄⠄⠄⠄⡰⠃⠄⠄⠄⠄⢸⠄⠄⢸⣧⠄⠄
⠄⠄⠄⠄⠄⣼⣧⠄⠄⠄⠄⠄⣼⠄⠄⡘⣿⡆⠄
⠄⠄⠄⢀⣼⣿⡙⣷⡄⠄⠄⠄⠃⠄⢠⣿⢸⣿⡀
⠄⠄⢀⣾⣿⣿⣷⣝⠿⡀⠄⠄⠄⢀⡞⢍⣼⣿⠇
⠄⠄⣼⣿⣿⣿⣿⣿⣷⣄⠄⠄⠠⡊⠴⠋⠹⡜⠄
⠄⠄⣿⣿⣿⣿⣿⣿⣿⣿⡆⣤⣾⣿⣿⣧⠹⠄⠄
⠄⠄⢿⣿⣿⣿⣿⣿⣿⣿⢃⣿⣿⣿⣿⣿⡇⠄⠄
⠄⠄⠐⡏⠉⠉⠉⠉⠉⠄⢸⠛⠿⣿⣿⡟⠄⠄⠄
⠄⠄⠄⠹⡖⠒⠒⠒⠒⠊⢹⠒⠤⢤⡜⠁⠄⠄⠄
⠄⠄⠄⠄⠱⠄⠄⠄⠄⠄⢸
"
51,I'm surprised it's still kinda active.
52,I player whit on server tops play no toing i say it game good whit it is players for agine on game half life 1 ? pvp... 563780006
53,"I guess its kind of fun to just run around a big map and kill other players with no other goal, but it just kind of gets boring after a few minutes. Also there aren't that many players on, but there will probably be a few decently full servers to join. You could probably have more fun doing the same thing in gmod."
54,lower the price so theres more players to kill
55,best fps game eva!
56,Pretty fun even in this day and age!
57,"Good old times ! 
old but still powerful memories!"
58,i couldnt find a match anywhere but I can use the gravity gun early so 10/10
59,This game is so motivational
60,very well made
61,No active vanilla servers. Could still be fun with friends though.
62,"I got this when the hl:a promotion was still up. To condense:
- Why the hell is it 5 dollars when it could have just ccame with hl2 similar to lost coast"
63,"Bad, i'm pretty sure i got a virus from it, joined a server, 2 seconds later killed by a Hacker, then called a dogshit baby in chat, don't play, all servers are like this."
64,"Very fun game to play with friends, especially with the ones that you want to smash a toilet into their head."
65,"The best way to describe this games gameplay would be.. TF2 deathmatch on methamphetamine.

Everything is chaotic and quick, every prop can be used as a weapon and about 10 deaths happen in the first 6 seconds of the game.
The in-game chat is either dead silent or is filled with people calling eachother boomers for playing this 18 year old game.

Bunnyhopping is possible in this game, also, ABH (accelerated back hopping) is usually disabled in most community servers.

There's usually at least 3-4 servers with at least 20 players.

And S.L.A.M mines are annoying as hell.

Edit: I also believe that this game should've been pre-packaged with half-life 2, like half-life 1 had its deathmatch mode in the main menu.
Or be made free-to-play, which is unlikely due to Valve not giving a crap about their older games."
66,gaming
67,Minecraft Kit PVP
68,kid named finger
69,"Best game ever, super dynamic!"
70,"fortnite
"
71,"This game deserves so much more recognition. It's like, totally the bees knees."
72,"Counter Strike: Source but with Half-Life 2 rebels and soldiers
7.5/10"
73,abc
74,very nice
75,"Better than Counter Strike.
Should be Free To Play by now"
76,It's alright.
77,Good times!
78,when i grab a prop with a gravity gun when im close to the enemy the prop just goes through them fix this bug please
79,Play have fun be respectful
80,ㅤ
81,good
82,Going into settings launches steamvr lol
83,actually so fucking good holy fuck
84,It’s very fun 9/10
85,Half-Life 2 Deathmach RP
86,fun game would recommend it
87,i've played for like an hour with a friend and valorant wishes it could be this
88,cool game
89,"hl2 but its deathmatch

pog game"
90,"⠄⠄⣿⣿⣿⣿⠘⡿⢛⣿⣿⣿⣿⣿⣧⢻⣿⣿⠃⠸⣿⣿⣿⠄⠄⠄⠄⠄
⠄⠄⣿⣿⣿⣿⢀⠼⣛⣛⣭⢭⣟⣛⣛⣛⠿⠿⢆⡠⢿⣿⣿⠄⠄⠄⠄⠄
⠄⠄⠸⣿⣿⢣⢶⣟⣿⣖⣿⣷⣻⣮⡿⣽⣿⣻⣖⣶⣤⣭⡉⠄⠄⠄⠄⠄
⠄⠄⠄⢹⠣⣛⣣⣭⣭⣭⣁⡛⠻⢽⣿⣿⣿⣿⢻⣿⣿⣿⣽⡧⡄⠄⠄⠄
⠄⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣶⣌⡛⢿⣽⢘⣿⣷⣿⡻⠏⣛⣀⠄⠄
⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⠙⡅⣿⠚⣡⣴⣿⣿⣿⡆⠄
⠄⠄⣰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⠄⣱⣾⣿⣿⣿⣿⣿⣿⠄
⠄⢀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⠄
⠄⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠣⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄
⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠛⠑⣿⣮⣝⣛⠿⠿⣿⣿⣿⣿⠄
⢠⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣶⠄⠄⠄⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⡟⠄"
91,This game is so much fun to play with friends and other people!
92,Best experience througt it is quite old one.
93,Ot is good fun at times but I personally wouldn't recommend
94,honestly hot game
95,Super epic
96,Classic game. Still good fun in 2022.
97,kida boring tbh
98,best game
99,I miss the good old times. We were playing this after school. The world was good.
100,game opens steam vr for some reason. unplayable
101,old valve games = underrated
102,"holds up to the test of time, crossbow go thunk"
103,BLAST
104,cool
105,Still holds up over the test of time.
106,Still the best shooter game online.
107,"HL2 but multiplayer
Good game since it's multiplayer of my favourite game"
108,Yeah its a good game to kill time
109,multiplayer is great and i enjoy all the servers and admins are responsive.
110,Literally Garry's Mod Deathmatch
111,"Iconic, groundbreaking, and a part of gaming history. Who wouldn't recommend this?"
112,These 20+ people co-op servers... plys come back :cry:
113,"make hl2dm free to play valve, you might bring in some players :D"
114,yes
115,:(
116,"If you can manage to get a few friends in a server together, or you find a relatively populated server with low latency, it's definitely a lot of fun. The gravity gun adds so much flavor to the mindless shooting. When you manage to get a kill by flinging a toilet, a wall radiator, exploding barrel, grenade, etc., directly at someone's cranium at 100mph it is complete euphoria. It's a good nostalgia trip."
117,dead
118,"This game is good, but all the servers are fucking dead
"
119,"i got fragged :(

-10/10 would play again tho"
120,i love throwing explosive and they dont gib good game and i love having sex with the funny rebel man
121,i'ts no call of duty but well worth it
122,Best game ever.
123,PERFECT for a LAN party and throwing toilets.
124,Kill people with a flying cinder block.
125,im realy good
126,i killed someone with a sink
127,"my brother loves this game
like, a lot"
128,"I'll give it meh, It's good but not a lot of servers."
129,good game
