,0
0,"trucking
"
1,"its fun p.s its much more better when you download truckersmp
"
2,The only way i can drink and drive
3,"The game was so good, it got me to do it IRL"
4,/
5,They can't take away this license
6,fun
7,"Никогда бы не подумал что потрачу 60 часов водя грузовик в компьютерной игре.. И тем более не подумал бы что буду подолжать заниматься этим все дольще и дольше.. Игра 12/10, покупать каждому."
8,good
9,111
10,its a really chill game perfect for when you want to relax
11, u
12,
13,its great and with friends and mods even better 9/10
14,A very relaxing driving game. Highly customizable thanks to mods. Recommended.
15,Its a Fun game to relax on or have fun with friends and is pretty realistic
16,g
17,beauitful
18,"delivery count: 23
body count: 4538

driving skills not included with your purchase."
19,it very intrested game
20,idk
21,hay people
22,👍
23,"=0
"
24,very good chill
25,"it is good
"
26,yes very good very naiss
27,"maxim
"
28,3 Hour early deliveries go brrrrrrrrrrr
29,jes gud gejm
30,"Very good game
Chill in single player and a rage simulator in multiplayer"
31,cool game
32,coool
33,Truck
34,120 KM/H in rain being Mazepin
35,Its a very fun game open map i would really recomend buying this product
36,good game
37,"the game is cool to play with a wheel,but with keyboard and mouse...different story, anyway 10/10 game"
38,great gameplay and addictive sim
39,"Throughly addicted.   Not just driving, but a true test of skill threading the needle... where instead of cotton, you're threading a 25 tonne pantechnicon through a set of bollards only a few feet wider than yourself.... At 50mph... on a time limit...   Truly fun.   

When I first started playing this, I was using a keyboard and mouse, and didn't really care about what I was doing.  I was careening into cars, smashing into crash barriers and tipping cargo all over the M1.  Then I started to grok what the game was really about,  being a perfectionist...  

Optimising the money you earn per hour of your time is what this is about.  As the best driver  you can easily earn ten to twenty times the amount of any other driver... But then, what if you hire ten or twenty other drivers?  You can take the time to do more relaxing jobs, buy a nice truck, buy a nice livery and post pictures on Twitter of your sweet ride.   But you can only do that with scads of cash, and you need skills and a workforce to do it.

Once you get eight or more drivers, you start to see the cash build.  They collectively earn about the same as you, and you just have to keep pushing the tin around the map until you get garages all over the continent.

Once that's done, you're free and clear to start enjoying yourself.

"
40,One of the best games i have ever played. Would advice people to install TruckersMP for online fun its great!
41,"Fantastic and immersive if you are into your Simulator games. Kept me busy for hours.
Great game"
