,0
0,Good game. Easy to learn and well explained. Especially like the fact it is free and you don't have to spend $ if you don't want to. Looking forward to playing with friends.
1,Close to realistic WW2 ships!! Leveling can be a bit long winded though
2,/ewuygtfhcuydhxfhncrufhycjnd x great game
3,"Love this game, great for a quick time killer just hop in and have a bit of fun. Works pretty well on Steam Deck,

Wish they had cross platform, so the stand alone client can link with steam client."
4,"gaet game  sorry for my selling
"
5,Free to play but not pay to win.
6,"It's a lot of fun getting to control beautiful rendered ships of history. With iconic ships prominent in the battle, it's like taking part in a museum battle with every deployment."
7,Awesome
8,Great game enjoying it a lot. :) Check it out. I'll meet you on the highseas!
9,"great game, epic battles"
10,"pretty noice, although it uses health bars, still noice
"
11,Good game
12,boat
13,Great graphics and game play.
14,Great fun and might even teach you some history.
15,"i find it very fun, the only downside is that it can be hard to get different ships i only wish that researching ships was easy."
16,Rubbish game
17,🚢
18,Sell me Yamato.
19,Excellent game!
20,"a fun naval game, easy to learn & play especially with a friend or two. There is AI opponents or PvP, missions and challenges, different tech trees for different nations ships. easy to get lost for hours playing so beware!"
21,loved the combat experience. this is a great game and the attention to detail is awesome.
22,"alot of people tend to shy away from games like this (world of tanks, warthunder, etc.) because it always becomes a pain to grind once you reach midtier without paying but this one does a pretty good job of throwing different ways to get xp, boosts, and money even at higher tiers."
23,yeet
24,I love this game so much! I love how all the ships are so realistic and I love ww2 ships!
25,iz gud
26,good
27,amazing game play not the best graphics but its really fun to play
28,Games pretty cool i guess
29,Best game ever and if it sounds stupid its not
30,Indeed
31,lame
32,pretty fun - lots of strategy and heaps of ships to play
33,Broken matchmaker with passive players camping edge of maps. Battleships are target practice for all other ships and and do the worst dpm while beeing unable to hit the side of a mountain from 10km unless you are lucky. It's a bad joke at this point.
34,Decent
35,love these games
36,"this is good game,you can chill
"
37,big gun battery energy
38,This game is Awesome!!!...
39,great immersion into a world of realistic warships..
40,It is a great game for a 20 minute casual playing session. Most players behave well.
41,"Historical accurate warship model with nice environment set up. Love the Navy legends channel as well. If you enjoy planning strategy  more than dealing damage, this game is probably for you."
42,its woerth the try no matter experience
43,fuck you kongo but its a gud game
44,"This game is insanely detailed in graphics, its easy to learn and ITS FREE!!!"
45,awesome
46,no enjoy
47,"A very satisfying game.
I will elaborate the reasons:
- Free to play;
- Options to spend (if you can and fancy the idea);
- Different modes for all tastes (randoms, co-op, ranked, brawls, clan battles, etc.);
- A game that you can log for a few to kill time or longer if you love to dedicate more in it;
- Constantly updated, with new goodies, fixes and more.

If you are someone who can't understand the difference between a video game and real life, or someone lacking common sense, most likely, you won't have a good experience in here.

Sometimes you will win, sometimes you will lose, and sometimes you will play great within a mediocre team and lose, but it is OK. It's a video game. If you are mature enough - of any age group - to understand that in games sometimes things happen (a bad decision, a bad team, a glitch, etc.) and focus to have a good time (for any amount of time you want to dedicate) this game will offer a lot of fun moments."
48,gREAT GAME
49,"Super fun to play
"
50,"Nice doo doo fard game.
My PC goes into cardiac arrest when I play this tho..."
51,thhhhhhhhhhhhhh
52,Fascinating and engaging game. Excellent graphics and sound effects. Developers eye to details in rendering vaious scenes is note worthy.
53,Great game
54,very fun
55,"big gun go critadel
"
56,Fun and realistic naval warfare.
57,"Big ships, shooting big guns, at other big ships until one gets wet. What's not to like?"
58,"Addictive and fun. the Grind isnt too bad and there is alot of tactics involved. There is pay to win, but if you dont know what you are doing, then honestly it doesnt matter as you will be slapped hard."
59,"It was a great game until out of nowhere, they decided not to support and drop all mac users."
60,very very fun!!!
61,"Fun well balanced game, good comunity regular updates. I really enjoy it."
62,Good game
63,couldnt login after creating account
