,0
0,"Imagine League of Legends, now imagine it worse. This game is horrendous. The developers do not care even the slightest for the average player. The community is the most cancerous people I have ever met. Do not ever install this game. Go outside and get fresh air. Sit and stare at a wall. It will provide you more enjoyment than you would ever receive from this game."
1,"it isn't the worst, i wish it got more attention."
2,no
3,I LOVE SMOKING CRACK
4,Been playing since the game was in Beta. One of my favorite games!
5,"stick with it, its hard to get back into"
6,do not play this
7,Its trash and toxic!
8,"Jogo bom, constantes atualizações."
9,smite > league of legends
10,just wow
11,i clicked yes but its a yes and a no it can be fun frustrating and a challenge but why is it a no as well well its not the games fault but there are a lot and i mean a lot of nasty people on this game if u cant handle people like that then stay away of try to get good buy studying the game and all the gods
12,"k
"
13,Mostly balanced MOBA with a fun interface and easy to understand strategies. Overall hours of fun
14,my fave <3
15,"I write this review after coming back to the game after about a month and a half away, playing a single game, and uninstalling. This game is fun, but only for certain people, I am not one of those people anymore. If you can download a game, and listen to the shittiest, most toxic, sad excuses for people and still enjoy yourself, play this game. If you want to install a game, and turn off every single form of team communication you can, you can enjoy this game. I have been a part of several toxic communities over my sixteen-ish years of gaming and this one, I can say, is the fucking WORST. I had more fun playing League of Legends then I had playing this game in recent memory. I had more fun playing R6S during the height of it's toxicity issue, then I have playing this game in recent memory, and that is saying something because that place was like a fucking prison. Every match you picked the biggest guy in game, ran his shit, or you were the bottom the whole game. I digress, for the people who skimmed, unless you wanna be treated like absolute trash while learning or relearning this game(if you are returning) turn off the chat, or just don't even install."
16,"I have played Smite since 2013, it is a fun and interesting Free MOBA that will always be enjoyable!"
17,this game is trash both dota and league are better options for a moba. but am i gonna turn my brain off and mindlessly play this terrible game for another thousand hours? probably
18,"Frolicking, free, fantastic, friend filled fun.

Just dont get carried away with in game purchases, can easily have fun for free = D"
19,Good gam much rage fuck zues 10/10
20,"league of legends gateway drug
fun tho"
21,"Pretty good, gets boring I think but is still really good!"
22,Simple and way more fun than all other games in the same out there :)
23,good game need a matchmaking fix
24,"A fun & fancy Pantheon of Ancient Gods & Goddesses? Yes! Easy to get into? No. You will have to persevere, as to end up on the winning side. Still sexy and a unique point of view-camera mode for MOBA's!"
25,dogshit dogwater game
26,"Hate to not recommend after 1400 hours, but here it is. The only concern of the developers is creating skins to make money. There are so many balance issues that have been overlooked for the entirety of my play time, it really is crazy. 

I want to love the game, but instead of adding more characters, and balancing the game, it's just constant new skins."
27,fire
28,Gay
29,this game
30,game fun
31,"trash game, buggy and broken garbage"
32,This is one of my favorite games. Do yourself a favor though and don't play it. You will become an insufferable tryhard like me.
33,Made me not want to cha cha real smooth.
34,"One of the best free games ever made. It's not for everyone, but Idk how many games I've bought over the years that collect dust or never get re-downloaded but Smite always has a place. I'd say the ranked system is pretty broken so it is definitely a game to play casually."
35,"If u are looking to go back to this game, don't. I got my account wiped after a few years of inactivity and really bothered me. It's not a great game after all, and the devs don't put any effort into it."
36,"TL;DR - Don't waste your time or money unless you have lots of online friends who also play this game or like getting trolled by 10 year olds.  

I began playing this game when it was still in beta and took a long hiatus several years ago due to the toxic atmosphere and poor matchmaking.  Fast forward about 5 or 6 years and I'm disappointed to see that it has not changed much.  I understood then, as i understand now, that this is very much a team based game.  You must depend on four other people to understand the game, pick a roll that helps the team then play that roll correctly.  So, if you do not have at least eight or so friends willing to spend countless hours forming a functioning group and possibly playing a god (or roll) you really don't like; don't bother.  If you play any form of match solo, more often than not, you will be pitted against a pre-made team who have practiced, have some sort of voice communication and are very adept at playing the game and their specific roll.  They will destroy you.  Then, you will re-queue only to find another pre-made is waiting.

If Hi-Rez or Titan Forge read this comment:  Please make separate queue's for solo and group play.  Doesn't have to be for ranked play, just for fun.  This game is entertaining but with the constant loosing (correction - being absolutely destroyed), it is not worth the time or money.  And remember, even if you don't care about the time, you do care about the money."
37,No
38,"I have played smite probably at least double what my steam profile shows. I took a multi year break but decided to try and play it again. It has been a waste of time. God forbid you have a single bad team fight at the start of a match, someone will inevitably rage quit. Well before the 10 minute mark. Even on non-conquest modes. In my last 15 matches I think I only had 3 that all 10 played through the match. The game is fun. The community is too weak minded."
39,This game is absolutely perfect if you need an excuse for wanting to put toothpicks in between your toenails and kick a wall...
40,The pain this game causes might be the worst pain in the world. But I must keep playing.
