,0
0,ayo maen
1,"that so good , It's so fun"
2, trash 4/5
3,Fun multiplayer game to play with friends
4,is good game
5,"This is a very neat twist for survival games. Beware, because LITERALLY EVERYTHING could kill you in this game. It's all about learning."
6,I dont have any friends who own this game
7,"Nice survival game, specially in night time :)"
8,One of the funniest experience ever with friends. The love that the developers have put in this game can be truly felt.
9,"very good game, although kinda hard for younger players, also its hard knowing what your suppose to do when you first start playing"
10,"Absolute W of a survival game. I love smashing in the faces of enemies, it is incredibly satisfying to kill the annoying pricks that attack you for no reason."
11,good game needs bean tho
12,this game is so much fun when u learn about it
13,yes
14,"good game unless u starve
"
15,GAME GOOD PLAY IT good luck :)
16,"no nawet git
"
17,The game is great STRESSFUL especially at winter and if you are a beginner but over all if you play the game right and well you will enjoy it of course still have to be careful so make sure to try your playing smart.
18,We starved together.
19,The Most Toxic  Communities ever
20,"I love this game to the brim, and it holds a sentimental value so absolutely love it!"
21,Really fun with friends
22,"Lets start off by saying, this certainly is one of my favourite shooter experiences of this year, i have many reasons but no doubt the best thing about this game is the innovative features it brings into the shooter medium, i've played many games like this in the past but none of them have quite caught my eye, the default settings need some tuning, but after you get past that the multiplayer is great, i think the gun mechanics are really great, in my opinion there isn't enough ammo, but thats up to preference. I haven't experienced much lag, which is really important for a game like this, so what can i say besides good job?

Everyone having a lot of hp might deter some players from enjoying the game as much, but its a different unique experience from games like, (for example) Counter Strike. I'd say some of the characters might be a bit overpowered on certain maps but that usually works fine, after all its generally skill vs skill.

Some of the unlockables might take too long to get, and i understand the people who are very dissapointed by this, especially since you can pay to unlock them earlier. The game isn't pay to win, though, which while good is just a standard.

Although some of the weapons, especially the shotguns and automatics can feel a bit frustrating, if you play enough to learn most of the cover mechanics, you can usually learn how to counter them. 

The PVE gamemode is somewhat interesting, with its large upgrade system, somewhat reminds me of the Mann VS Machine gamemode from Team Fortress 2, its not something to play the game FOR, but it certainly can be fun if you bring friends.

Pretty much nobody plays Payload or Capture The Flag, which even though rather unfortunate, i can see the reasoning for, the game feels much more right played in settings such as 1v1 or deathmatch.

Overall, this game is a solid 8/10 for me, the mechanics carry it, despite some of the weaker aspects.
I highly reccomend you to try it for yourself, its something that no person who enjoys shooters should miss."
23,it good
24,best game to play with friends
25,ITS A very fun game!! absolutely recommend it to be played with friends.
26,coop fun
27,it's free and fun for multi-players
28,A great game to learn from your mistakes!
29,"This is a simply amazing game. then again, most games by Klei are. it's very hard, but that's part of the fun. 10/10"
30,"Fun game too run around with group of friends or randos And Die Many Many Times lol

Oo and did i mention sometimes u starve"
31,it gooooooood
32,there is a funny frog.
33,This game is too hard
34,"mmmmmmmmmmmmmmm good
"
35,"One of the best games you will ever play.
Death will be certain, but also your best teacher.
Do not get discouraged by it, but learn from your mistakes and survive next time!
This game has lots of lore, mechanics and amazing quests and adventures that you cannot miss.
From exploring, adventuring, resource gathering, fighting, base building, skins, events. And More!
Klei Entertainment makes free updates basically almost every month, so...
You will get way more than what you are paying for!
Absolutely 100% Recommended."
36,Gaming
37,needs cross platform. Been playing this game for years and by far the most annoying thing is the lack of cross platform. Really makes it hard to play with friends unless EVERYONE can play on the same platform
38,"i can relate


(i cant find food anywhere in my house)"
39,"more dont starve that i get to play with my partner, 9/10"
40,Excellent experience in co-op
41,Have and will always love this game. I've never completed it but have had lots of fun adventures in it.. It's such a thrill!
42,"The game itself is very enjoyable, especially with friends, getting to know the basics and progressing further is a pain tho. Runs can easily take 2 hours and you still die to the hounds or winter and in the next run dont know what to do.
Be prepared to use the wiki a lot."
43,"The game is consistently good, with a content rich world that surprises even after the 40 hour mark. The developers have been actively supporting it for years. 

This is a Classic, by all standards. If you enjoy indie games, it is a ""Must Play"". 

Bravo, encore!"
44,ong game cool
45,"the best
"
46,
47,🐻
48,great game
49,Walter stole my fucking garlic
50,"good game, hard tho, play it with a buddy"
51,such a cute and fun game i love dst so much and i love walter
52,this game is graet i like the art and the skins the combat is ok.
53,good game
54,best game ever tbh
55,why do i need a description to post a review
56,hi
57,FIX THE GOD DAM GODMODE COMAND
58,i committed so much arson in this game
59,"wolfgang da big strong man with bulging muscles, but also loving cat dad of two. CANON"
60,.
61,good game 10/5
62,I have 232 h played and counting. I mean... of course I recommend this game.
63,i liked how they did  the terraria x dont starve together update!
64,Im starved man! SEND FOOD
65,an everyday chaos and raining frogs
66,"If you don't have the money to buy both singleplayer Don't Starve and Don't Starve Together, get Don't Starve Together. Though the single-player experience can be a bit odd in Together, it has way more content and you have lots of ways to customise and mod the experience to fit you better"
67,"Great game, don't see any guides or google stuff to actually enjoy the discvoery"
68,"more like ""dont let the detox gremlins kill you"""
69,"Game is meh, look at this instead.
⠄⠄⣿⣿⣿⣿⠘⡿⢛⣿⣿⣿⣿⣿⣧⢻⣿⣿⠃⠸⣿⣿⣿⠄⠄⠄⠄⠄
⠄⠄⣿⣿⣿⣿⢀⠼⣛⣛⣭⢭⣟⣛⣛⣛⠿⠿⢆⡠⢿⣿⣿⠄⠄⠄⠄⠄
⠄⠄⠸⣿⣿⢣⢶⣟⣿⣖⣿⣷⣻⣮⡿⣽⣿⣻⣖⣶⣤⣭⡉⠄⠄⠄⠄⠄
⠄⠄⠄⢹⠣⣛⣣⣭⣭⣭⣁⡛⠻⢽⣿⣿⣿⣿⢻⣿⣿⣿⣽⡧⡄⠄⠄⠄
⠄⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣶⣌⡛⢿⣽⢘⣿⣷⣿⡻⠏⣛⣀⠄⠄
⠄⠄⠄⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⠙⡅⣿⠚⣡⣴⣿⣿⣿⡆⠄
⠄⠄⣰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⠄⣱⣾⣿⣿⣿⣿⣿⣿⠄
⠄⢀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⠄
⠄⣸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠣⣿⣿⣿⣿⣿⣿⣿⣿⣿⠄
⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠛⠑⣿⣮⣝⣛⠿⠿⣿⣿⣿⣿⠄
⢠⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣶⠄⠄⠄⠄⣿⣿⣿⣿⣿⣿⣿⣿⣿⡟⠄"
70,b
71,"like survival games? awesome, like cozy games? awesome, like games with just generally cool noises and artstyle? awesome



lovin this game so far"
72,"Jeux de survie en solo ou groupe, bonne difficulté et grand monde à découvrir !"
73,fun fun!
74,"The amount of fun that you can have in this game is so huge, I think some of the updates over the years have over-complicated the simple formula that made me love DST when I first discovered it but it's still a blast to play especially if you're jumping in with a few friends."
