,0
0,is old but good ig
1,"nice
"
2,Great game! Gives me nostalgic vibes all the times :)
3,nice cs game especially when you got no internet
4,"If you like cs, you should do this. Not really great but I liked it."
5,please these files cant process themselves
6,toiletpaper
7,"Classic fun. AI isnt great, but sometimes you just need a game that's fun to play and not too involved."
8,"Nawet fajny ten CS w singlu, ale wypadało by go trochę poprawić."
9,Counter-Strike with lore. I love it.
10,This was the first counter-strike game that I've ever played.
11,brony easter egg. do not purchase.
12,honestly great even though there was story to follow.
13,better than gta 5 story
14,"Simple the best single player Counter-Strike experience, nuff said."
15,Can confirm this is way better than CS : CZ
16,Good
17,a delightful little shooting gallery
18,Very nice game about CS. Feels more like Half-Life but have CS movement and weapons. Pretty good for a free game which come with condition zero and 1.6.
19,"If your curious what this is, it's a half life campaign for Counter Strike chopped up into shorter scenario's using mostly reskinned hecu soldiers as the basis for all the enemies you encounter.

Most of the game is pretty great to enjoy, aside from a few difficulty spikes in a few scenario's. But it's nice to experience what could've been the singleplayer going forward for CS itself."
20,a
21,"So much nostalgia
Definitely an imperfect game, but still worth a play through
"
22,cool gam
23,Is cool
24,"Fun game, reminds me more to hl1 than cs tbh"
25,"The single-player projects that Valve develops have always appealed to me far more than their multiplayer games which is why it is so interesting to see the framework of Counter-Strike be applied to a single-player campaign. The actual game is well-made and while as a whole it feels very disjointed, most missions are a lot of fun and have a new settings, gameplay mechanic, etc. to keep everything fresh."
26,"⣿⣿⣿⣿⣿⣿⣿⣿⡿⠿⠛⠛⠛⠋⠉⠈⠉⠉⠉⠉⠛⠻⢿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⡿⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠛⢿⣿⣿⣿⣿
⣿⣿⣿⣿⡏⣀⠀⠀⠀⠀⠀⠀⠀⣀⣤⣤⣤⣄⡀⠀⠀⠀⠀⠀⠀⠀⠙⢿⣿⣿
⣿⣿⣿⢏⣴⣿⣷⠀⠀⠀⠀⠀⢾⣿⣿⣿⣿⣿⣿⡆⠀⠀⠀⠀⠀⠀⠀⠈⣿⣿
⣿⣿⣟⣾⣿⡟⠁⠀⠀⠀⠀⠀⢀⣾⣿⣿⣿⣿⣿⣷⢢⠀⠀⠀⠀⠀⠀⠀⢸⣿
⣿⣿⣿⣿⣟⠀⡴⠄⠀⠀⠀⠀⠀⠀⠙⠻⣿⣿⣿⣿⣷⣄⠀⠀⠀⠀⠀⠀⠀⣿
⣿⣿⣿⠟⠻⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠶⢴⣿⣿⣿⣿⣿⣧⠀⠀⠀⠀⠀⠀⣿
⣿⣁⡀⠀⠀⢰⢠⣦⠀⠀⠀⠀⠀⠀⠀⠀⢀⣼⣿⣿⣿⣿⣿⡄⠀⣴⣶⣿⡄⣿
⣿⡋⠀⠀⠀⠎⢸⣿⡆⠀⠀⠀⠀⠀⠀⣴⣿⣿⣿⣿⣿⣿⣿⠗⢘⣿⣟⠛⠿⣼
⣿⣿⠋⢀⡌⢰⣿⡿⢿⡀⠀⠀⠀⠀⠀⠙⠿⣿⣿⣿⣿⣿⡇⠀⢸⣿⣿⣧⢀⣼
⣿⣿⣷⢻⠄⠘⠛⠋⠛⠃⠀⠀⠀⠀⠀⢿⣧⠈⠉⠙⠛⠋⠀⠀⠀⣿⣿⣿⣿⣿
⣿⣿⣧⠀⠈⢸⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠟⠀⠀⠀⠀⢀⢃⠀⠀⢸⣿⣿⣿⣿
⣿⣿⡿⠀⠴⢗⣠⣤⣴⡶⠶⠖⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⡸⠀⣿⣿⣿⣿
⣿⣿⣿⡀⢠⣾⣿⠏⠀⠠⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠛⠉⠀⣿⣿⣿⣿
⣿⣿⣿⣧⠈⢹⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣰⣿⣿⣿⣿
⣿⣿⣿⣿⡄⠈⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣴⣾⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣧⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣷⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣦⣄⣀⣀⣀⣀⠀⠀⠀⠀⠘⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⡄⠀⠀⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠀⠀⠀⠙⣿⣿⡟⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠀⠁⠀⠀⠹⣿⠃⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⡿⠛⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⢐⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⠿⠛⠉⠉⠁⠀⢻⣿⡇⠀⠀⠀⠀⠀⠀⢀⠈⣿⣿⡿⠉⠛⠛⠛⠉⠉
⣿⡿⠋⠁⠀⠀⢀⣀⣠⡴⣸⣿⣇⡄⠀⠀⠀⠀⢀⡿⠄⠙⠛⠀⣀⣠⣤⣤⠄"
27,"Отличная классики, потрясный сюжет ""бегай и стреляй"" отсутствие повесточки blm/sjw/lgb*** только суровые отстрелы террористов"
28,"PRETTY GOOD MISSIONS,"
29,"really fun, cs:cz on crack."
30,very underrated :(
31,Cs lore
32,makes you wish for a cscz full story mode
33,Lost cause gave me PTSD
34,yeyeysyysyeyys
35,best cs
36,"Counter strike but i can't play with my 100% real friends, still good toh"
37,I fav childhood games!
38,this is what could have been
39,"Very detailed game with a lot of effect as for GoldSrc engine. This game could easily replace CoD and develop into big franchise, but this didn't happened"
40,Fun game! I recommend playing it. Finished it in 4 hrs.
41,The game that wasn't good enough to be the main game. My thumbs up is for at least including it in the package back in the day.
42,"m-ppniec game, i like the idea of progressing singleplayer"
43,good campaign i guess
44,"Ah yes, the most forgotten counter strike brother"
45,Counter Strike with story.
46,this game made me want to rip my hair out
47,counter strike: condition zero deleted scenes has been running in the background for a day
48,VALVE MAKE A CAMPAIGN FOR CSGO AND ILL PLAY CSGO AGAIN.
49,"If Valve made a Call Of Duty game in the 90's
still better than Vanguard though"
50,Exelente juego. es mas entretenido que la campania del Cs: Cz (la cual es elegir unos bots por puntos y jugar como si jugaras solo con bots)
51,<3
52,TASUIIIII
53,very good game
54,Approved
55,games with campaign mode are fun
56,"Great game, it really shows you how a CS game with story should look. I hope Valve consider remaking it with the new Source 2."
57,Most fun I ever had since 2014.
58,I kinda hated the part where you had to raid the Tower because I kept getting shot up by the gunners and the snipers.
59,"There's not overarching story, just a bunch of levels.
Often times you'll find yourself not knowing how to proceed from an area.
Ammo is scarce so there were missions I had to finish using only my knife a prayer.
Enemies most of the times aim-bot you and spawn behind you (in areas that you made sure you cleared)
It has a Half-Life vibe to it but it's not very high in quality."
60,"Not bad, good to kill time"
61,"Nice gameplay but sometimes you get stuck in pixel spots. 
Overall good"
62,very good story
63,pro old school game
64,Better level design and gameplay than an average cod campaign 11/10
65,"Very fun classic, but the AI on hard difficulty is really annoying to deal with 7/10"
66,yes this is a game bre
67,Not saving progress anymore
68,"its fucking gay ass game the enemy positioning makes me want to jump off a building and i hate that you have to make checkpoints every 2 fucking seconds because it always spawns a dude with a rocket launcher and a sniper in the same fucking place and it just makes me want to kill myself

if this wasnt included with cs 1.6 i wouldve definitely refunded. played 2 missions and i have enough already"
69,i died trying to fly
70,Classic CS storys
71,yes
72,Very Fun
73,better than COD!
74,good
75,"For people who like Counter-Strike's gunplay but want a single-player experience, or for players who primarily play single-player games who want to learn what CS is like on a mechanical level before jumping in online, Condition Zero: Deleted Scenes is entertaining enough to be worth at least one playthrough in spite of some glaring difficulty spikes; just treat each level as a standalone mission rather than all the levels being connected to some over-arching narrative."
76,"The gameplay was fun at times but you're better off just playing CS:GO. It has better graphics, gameplay, and mechanics. This is just the worst version in every way but it has a story attached. The story really isn't interesting or worth it in any way. I did want to off myself from some rage-inducing moments but I couldn't push past mission 6 after I was ""too late"" with the extraction. If you have a lot of patience go ahead, it's a hard pass otherwise, 4/10."
77,Good campaign!
78,"Brings back childhood memories, its fun if u have time to waste."
79,Yes
80,I honestly wish this was finished
81,It had a campaign?!?
82,I don't really recommend this game. After completing all the missions there is nothing left to do.
83,cs campaign
84,basically lore of the counter strike teams
85,"counter strike but story mode.
story is like counter terrorism groups fighting against terrorism in several countries.
dont expect cod series from it but its playable and nostalgia."
86,i will lie in bricks of the end of the ambush
87,10/10
88,yes
89,"Think of this game as a call of duty campaign version of counter strike.

You can finish the game pretty quickly and there's little to none replay value so if it goes on sale, feel free to buy it if you want to waste a couple of hours shooting npc targets."
90,"Великолепные миссии, продуманный сюжет, несколько вариантов концовок, нестандартный подход к выполнению миссий, а так же гениальные титры уровня Кодзимы. 10 блаккатов из 10
"
91,"I like the story-based gameplay of CS:CZ - the ability to join various Counter-Terrorist forces across the globe and fight terrorism in various settings. Reasonably challenging with ""Half-Life"" kind of playing style. CS fanboys should give this a try."
92,"the campaigns are fun, and the m72 is literally the most fun weapon to use, especially if you rocket jump with it.
"
93,"I wish counter strike games were all like this and had levels with plot and single player mode, as then i wouldn't need an internet connection and have to risk getting hacked by some a** with nothing better to do. But if you're going to have people from other countries can you get voice actors from these countries because i dont want to have to get my ears destroyed by an american guy screaming nonsense words in a fake japanese accent every 20 seconds or have to listen to the english man talking in what i thought was supposed to be Argentina"
94,NOICE
95,"Awesome classic game 
"
96,"it teleport to the hl1 map
10/10"
97,The gunplay feels fantastic. 10/10
98,It's CS 1.6 but a single-player campaign
99,lovely
100,"[u]Tour of Duty campaign:[/u] 1.6-ish multi-player maps but with bots and a very early form of -mandatory- achievements. Not worth discussing, although the bots' AI is pretty nice admittedly.
[u]Deleted Scenes campaign:[/u] actual single-player campaign, but written and directed by Steven Seagal.

Only for absolute nostalgics, or fans of Goldsource Engine games. Everyone else: [b]stay out of this one[/b]"
101,like
102,"IT DO BE GOOD
"
103,"you know i through i could say its actually good or its okay but there is a reason its called deleted scenes, i wish i wouldn't say this but i actually hated it, so much that i couldn't make it past level 2, now i know what your saying ''WHAT?, YOUR A BABY! HAHA'' no,  i had it on normal and i had no fun at all, i tried to say to myself all the time ''i think i will like this level'', and then i did not, i liked nothing at all and i understand why its called deleted scenes now, however i have yet to play normal retail which will be nothing like this, i hope."
104,+1
105,"this is something else you should try
cs:cz story mode xd"
106,Counter-Strike: Condition Zero but it's a cut campaign
107,CS with story mode
108,Hidden gem
109,Nice lol
110,"If you like CS you would definitely enjoy this one, bring back old memories, just buy it already. Still you need to have in mind that this is an old game so maybe lobbies are not as active as they used to."
111,It has some of the most creative environment design I have ever seen
112,Back when Counter Strike had a single player mode.....
113,Funny to play
114,"⣿⣿⣿⣿⣿⣿⣿⣿⡿⠿⠛⠛⠛⠋⠉⠈⠉⠉⠉⠉⠛⠻⢿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⡿⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠛⢿⣿⣿⣿⣿
⣿⣿⣿⣿⡏⣀⠀⠀⠀⠀⠀⠀⠀⣀⣤⣤⣤⣄⡀⠀⠀⠀⠀⠀⠀⠀⠙⢿⣿⣿
⣿⣿⣿⢏⣴⣿⣷⠀⠀⠀⠀⠀⢾⣿⣿⣿⣿⣿⣿⡆⠀⠀⠀⠀⠀⠀⠀⠈⣿⣿
⣿⣿⣟⣾⣿⡟⠁⠀⠀⠀⠀⠀⢀⣾⣿⣿⣿⣿⣿⣷⢢⠀⠀⠀⠀⠀⠀⠀⢸⣿
⣿⣿⣿⣿⣟⠀⡴⠄⠀⠀⠀⠀⠀⠀⠙⠻⣿⣿⣿⣿⣷⣄⠀⠀⠀⠀⠀⠀⠀⣿
⣿⣿⣿⠟⠻⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠶⢴⣿⣿⣿⣿⣿⣧⠀⠀⠀⠀⠀⠀⣿
⣿⣁⡀⠀⠀⢰⢠⣦⠀⠀⠀⠀⠀⠀⠀⠀⢀⣼⣿⣿⣿⣿⣿⡄⠀⣴⣶⣿⡄⣿
⣿⡋⠀⠀⠀⠎⢸⣿⡆⠀⠀⠀⠀⠀⠀⣴⣿⣿⣿⣿⣿⣿⣿⠗⢘⣿⣟⠛⠿⣼
⣿⣿⠋⢀⡌⢰⣿⡿⢿⡀⠀⠀⠀⠀⠀⠙⠿⣿⣿⣿⣿⣿⡇⠀⢸⣿⣿⣧⢀⣼
⣿⣿⣷⢻⠄⠘⠛⠋⠛⠃⠀⠀⠀⠀⠀⢿⣧⠈⠉⠙⠛⠋⠀⠀⠀⣿⣿⣿⣿⣿
⣿⣿⣧⠀⠈⢸⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠟⠀⠀⠀⠀⢀⢃⠀⠀⢸⣿⣿⣿⣿
⣿⣿⡿⠀⠴⢗⣠⣤⣴⡶⠶⠖⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⡸⠀⣿⣿⣿⣿
⣿⣿⣿⡀⢠⣾⣿⠏⠀⠠⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠛⠉⠀⣿⣿⣿⣿
⣿⣿⣿⣧⠈⢹⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣰⣿⣿⣿⣿
⣿⣿⣿⣿⡄⠈⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣴⣾⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣧⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣷⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣦⣄⣀⣀⣀⣀⠀⠀⠀⠀⠘⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⡄⠀⠀⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠀⠀⠀⠙⣿⣿⡟⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠀⠁⠀⠀⠹⣿⠃⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⡿⠛⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⢐⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⠿⠛⠉⠉⠁⠀⢻⣿⡇⠀⠀⠀⠀⠀⠀⢀⠈⣿⣿⡿⠉⠛⠛⠛⠉⠉
⣿⡿⠋⠁⠀⠀⢀⣀⣠⡴⣸⣿⣇⡄⠀⠀⠀⠀⢀⡿⠄⠙⠛⠀⣀⣠⣤⣤⠄⠀"
