,0
0,"If you beat the game, you can have some cake."
1,d
2,"juego corto y con puzzles faciles pero ingeniosos. 
ah y los robotitos muy carismaticos <3"
3,"this is one of those games where it gets left in the dust because the sequel was better. but that's not to say its bad,
I still have fun with this game. It has a unique atmosphere and wonderful soundtrack.

10/10!"
4,Classic game. Awesome story. What more do I need to say besides the cake is a lie.
5,"It's Portal. It's brilliant.

Better than cake."
6,Best logic game ever!!
7,Whoever designed Testchamber 18 should be put in a WW2 chamber.
8,AMAZING!
9,"portal:     

1 if not the best game i have played before"
10,"This game has cute turrets, hot companion cube and ofc portals too. What more do you want?!

Psst...
[spoiler]the cake is a lie......[/spoiler]
[spoiler]The Cake is a Lie...[/spoiler]
[spoiler]THE CAKE IS A LIE[/spoiler]"
11,"It's fun and very original. It doesn't feel dated. Amazingly Valve continues to maintain it.

I've been playing on my Steam Deck."
12,It is great an smart game full of cool characters and puzzles. Remember the cake is an lie?
13,"Very very good but the last 4 levels were crazy insanely hard, I do not recommend this game, oops I mean the last 4 levels. So please give this game a review thanking me for this advice, thank you, and good bye."
14,e
15,its better to make portal 3 rather than continue update csgo  x(
16,Still Alive
17,999xxx
18,gud game 9.99/10
19,"I have been authorized by my employers to tell you exactly who the Nihilanth are and why Portal is more than redundant, perhaps even pointless."
20,a good game to beat in a day
21,yes
22,pew pew hole in wall teleport thumbs up
23,"it's portal, there's not much else to say"
24,Portuls
25,caek
26,
27,"Portal is such a great puzzle solving game with an extremely interesting story, which leaves you wanting to know more about the setting and characters and the connections between them. GLaDOS's voice actress, Ellen McLain, delivered such a strong and emotional performance for a robotic monotone character and her voice is absolutely beautiful in regards to singing. I highly recommend buying this."
28,"fun, ahead of its time"
29,No portal 3 :(
30,"Incredible game, even with no experience with the franchise! The game is fun, entertaining, and best of all funny. I highly recommend this game."
31,"nice
"
32,"this game is great, for those of you who have not played it, it is a puzzle game and you have to figure your way out of every room of the facility. it is a great game that i have beaten so many times on my consoles, and i love it so much i had to get it for pc and do it again. i plan to keep beating it over and over in time. i play and beat it, wait a few months to forget all the puzzles and then play it again."
33,"Very over-hyped!
Zero storyline, easy puzzles, and only 2 hours of play time. The final boss was fun though!"
34,"This game is amazing. From the dialogue, the main villain, to everything in-between. If you haven't played this or Portal 2, do that now or Cave Johnson will make a combustible lemon that burns your house down."
35,"This game is a foundation for a masterpiece!
Portal 2 is a masterpiece and Portal 1 is the foundation of it!"
36,"biig sucsess much enjoy yes
"
37,Goosebumps and tears. Cant wait to buy 2
38,The game was fun to glitch
39,"asec w
"
40,"Such an amazing game. 10/10. 

Remember: The cake is a lie. Do not trust THEM. THEY are lying to you. Do not attempt to eat the cake. Do not attempt to touch the cake. It is and has always been a lie."
41,it good me like
42,It is a pretty good game
43,nostalgic
44,"portal deez 
"
45,Portal
46,"good portal game 
"
47,"Absolutely awesome, must play!!!"
48,classic. press button and portal. press other button and other portal. they link
49,portal.
50,"Fun game with portals.
The bonus challenges are not very fun, but doable."
51,Self sex can be made easily with portal. Fuck with portals. 100/10
52,the companion cube will always be close to my heart 🥲
53,I wish I could bake GLaDos a cake
54,Fun
55,"obligatory 'Portal Radio Loop 10 Hour' timestamp 5:18:58
also eff these challenges"
56,Great little puzzle game. Short and sweet.
57,It's a Very good game and if you want it get it because there is absolutely no reason not to.
58,overpriced but fun
59,t
60,godlike game (doesn't age) always fun short and sweet Valve very good yes
61,It's really fun to play!
62,Fun game. Play it
63,"good game
"
64,so gud best game buy it
65,WOW
66,Ofcoz
67,"THIS GAME REMIND ME OF PORTAL 2
8/10 LOVE POOPNTUZ"
68,"The cake is a lie, but the game is great."
69,one of the best games ever tbh
70,portal walkthrough
71,"one of my favorite video games of all time. Such good game mechanics, good humor, and perfectly creepy atmosphere."
72,da cake is a lie.
73,good game
74,its portal
75,
76,glad to finally play this game
77,how do you spell piss
78,We need portal vr
79,it has portals
80,"It was irritating at sections, but overall, it was a real solid game."
81,The Cake is a lie.
82,Great classic. Hilarious... it is a cake for the brain!
83,yugm
84,I think I placed a portal.
85,Hole
