,0
0,hgutyu
1,Fun tank game easy to play.
2,"it's easy until you get to tier 7 tanks
"
3,Good
4,thjsi g aem sid isadq1 827NGBQCWG 7TY4F23 GQT7YN6BTE 6B7T21EB657T V85BT213
5,nice
6,"this game is utter garbage wtf 

i absolutely respect the heck out of steam so i really want to apologize to them for all my negative reviews."
7,good game
8,"Love the play style, the ability to team up with mates and dominate.

I greatly dislike the way the devs feel the need to shove ""buy me"" ads down your throat all the time though."
9,no
10,"""Defy the rules!""
what kind of dumb hype is that?

Anyway, 'defying the rules' is too grindy..."
11,This game is cringe on Russian servers delete them all
12,"i find it fun and challenging ,  be the best  or  try  lol"
13,It's a fun game good for people who like tanks and world war games
14,"great  fun , play for fun an not by game developers  guide line ,,,, You make your rules an enjoy"
15,"Fun tank game, nice way to kill time with friends"
16,Perfect
17,ok
18,map is outdated
19,good love this game
20,It is good to start out with until you realise its all pay per tank and the controls and aiming are horrible.
21,This game is pretty fun but it does get boring after a while when it just takes forever to upgrade your tanks
22,Прикрепляю
23,"bad game dont get it, its already too late for me"
24,.
25,"Not the best game in 2022, always was pay to win , not worth anyone time, i promise you!
If you don't want to pay, don't start this game!"
26,easier that world of tanks and war thunder but still good
27,fun
28,"Fun game, I learned not to get angry at RNG. Lol"
29,"As a mac player, this game is really cool and there aren't many substitutes on OS. It's a really cool and fun game, but playing as a F2P really brings you down. This game is 1/2 a cash grab, and I reccomend not spending any money here, as you'll get too invested. I can't, but if you can, just play World of Tanks.

TL:DR, the game is really fun, but it's kind of a cash grab."
30,Very niice game
31,говно а не игра
32,Tanks
33,d
34,u
35,didon't played for years but it was great to play as a kid
36,"Nerves of stell, patience and the ability to learn rather than argue just for the sake of it. If you like tanks and want to master some skills that are harder than most, you could give it a try."
37,good game very fun
38,fun as hell
39,I may be new to this game but so far it is very fun and relatively easy to get accustomed to.
40,Very much alright indeed.
