,0
0,:)
1,Kinda okay very short and not the best that half life as to offer 6/10
2,"If you liked Half-Life 1, then you'll like this. Imagine a shorter version of Half-Life that takes the best parts of the game and keeps it to a 2 hour experience. It doesn't shake the boat anywhere and it does not tell a really enticing story but the gameplay is solid and the puzzles are good and actually require some thought. I recommend this game to anyone wanting a quick recap of goldsrc's Half-Life experience without having to sit through the long and dragging pace of the original."
3,barney my beloved
4,This game is REALLY short. I only bought this because of the half life story.
5,"I feel like this one is the shortest from the 3 Half-Life campaigns, but it's pretty nice."
6,One of the games ever
7,"Best fucking game in my entire Life, my dick grew 6 inches just by installing this"
8,"its a good expansion not the best one that goes to opposing force, it was a nice experience although lackluster in its gameplay and its short playtime. Would recommend this to any Half-Life fan but only if its on sale, kinda disappointed they did not add achievements to the base game and its expansions definitely would have added much more replay value and fun."
9,"Best HL expansion. Only cons are: 1. lack of good music (uses OP4 music) 2. short length of the game 3. HD pack on by default (although this doesn't really count because you can disable it).

OP4 fans can go you know where
#BarneyGangster"
10,"Blue shift is really short and doesn't add a whole lot to the original formula but if you've played through half life you've gotta play this one, just get it on sale."
11, λ
12,"No better or worse than HL 1 and Opposing Force. Short but the length was welcome.
"
13,"There's an addon in moddb that lets you turn the crowbar blue

10/10 best half life expamsion"
14,"Decent expansion to Half-Life, but falls short of Opposing Force."
15,short but sweet
16,blue hafl life
17,Calhoun Most Attractive
18,"After giving Half Life another go, i'd thought i'd check out its expansion, Blue Shift! BY GOD, IT SUCKED. While the gameplay was good and it was a great introduction to Barney Calhoun, it was literally a rehash of the first game. Easy to get lost, boring settings, and bland characters. Just skip this and go to Half Life 2. You won't miss jackshit."
19,A short but great campaign of Half-Life expansion.
20,The game is broken. my mouse freezes the whole time. i played half life 1 and found no issues but this game is giving me issues. unplayable
21,"great expansion, just makes me love the character of Barney Calhoun even more"
22,Short and kinda forgettable but it's more HL1.
23,"a little bit short, but just as good as hl1 and opposing force."
24,this game is shit1
25,Just got a new job hope nothing goes wrong
26,"It's pretty good the only problem i had with it was that it was really short it takes me about 2 hours to complete
but i honestly enjoyed it"
27,"This is a good game. i like it because it gives a different point of view to Half Life
"
