,0
0,"Pros: Immersive, fun, interactive. 
Cons: limited interaction with objects (would love to be able to explore around the map).. 
Also this guy who tries Fred's suit for the first time, it doesn't make sense that he keeps dying, it's so not real life.."
1,If u Love grappeling this is your game lots of it and kewl story worth a play
2,"It's a good game. Not my type but it is one of those games where and when developers actually tired [key word tho] to create something worthy and not to just spit out ""early axe-as-s"" to grab the money. Totally recommend especially for the price tag it holds during sales."
3,"A great 3D platforming game with a story that draws you in. The game overall is short, but the length is perfect. There are some sections of the game that are harder than others, and areas that take a little experimenting to figure out where to go. Even with these flaws I recommend giving the game a shot. On the plus side it works great on the steam deck!"
4,"[table][tr][th]ОЦЕНКА[/th][/tr][tr][td][h3]  3 / 7[/h3][/td]
[td]красивая но пустая паркур-игра с одной игровой идеей размазанной на всё прохождение[/td][/tr][/table]

[table][tr][th]⠀✅⠀ДЕТАЛИ И МОЁ ПРОХОЖДЕНИЕ[/th][/tr]
[tr][code]
🔥 сложность:⠀   4 / 7
💬 нарратив:⠀    3 / 7
✨ аудио-видео:  5 / 7
🍫 фан-фактор:   3 / 7

⌛ сюжет проходится за:⠀4-5ч
💯 на 100% проходится за:⠀10-15ч

💥 кол-во крашей (ctd): x0
[/code][/tr]
[tr][td]
⠀► прошёл игру, собрал все коллекционки и воспоминания
⠀► спидран: везде золото
⠀► все достижения
[/td][/tr]
[/table]

[table][tr][th]⠀🏆⠀ДОСТИЖЕНИЯ[/th][/tr]
[tr][code]
🔥 сложность:⠀ 5 / 7

🔲 нужно пройти на максимальной сложности
🔲 мультиплеер или кооп
🔲 покупка ДЛС
🔲 наиграть Х часов
🔲 запустить игру в определённую дату
🔲 легко-пропускаемые
☑️ спидран
🔲 коллектофон
🔲 гринд
[/code][/tr]
[tr][td]
⠀► спидран-достижение легко получается с помощью баганутой физики. гуглите видосы на тему ""fling"" это когда персонаж вылетает за границу карты и пролетает сто километров не касаясь земли. также можно включить консоль и просто прописать себе noclip. без этих трюкачеств авивка даётся сложнее
⠀► достижения на ""пройти не падая"" и ""пройти используя ИКС крюков"" нельзя получить в спидран-режиме. готовьтесь пересматривать один и теже катсцены
⠀► если делаете достижения ""пройти не падая"" и выбрали ""рестарт с чекпоинта"" то это засчитывается как поражение, а если выбрали ""выйти в главное меню"" и затем ""продолжить с чекпоинта"" то нет. думаю в коде игры прячется аномалия с ЧЗО под названием ""всратая логика""
[/td][/tr][/table]

[table][tr][th]⠀⚠️⠀ЗАМЕТКИ[/th][/tr]
[tr][td]
⠀► движок Unreal Engine 3. консоль разблокируется следующим образом: ASAMUInput.ini -> ConsoleKey=Tilde
⠀► игра очень сильно скалит вертикаль на высоком FOV (видно на квадратных мониторах). лечение: ASAMUEngine.ini -> AspectRatioAxisConstraint=AspectRatio_MaintainYFOV
[/td][/tr][/table]

[hr][/hr]
[h3]История о прыгалке[/h3]
что будет если взять идею паркура-с-крюком из ламповой [url=store.steampowered.com/app/384690/]Umihara Kawase[/url], соединить это с медитативной эстетикой [url=store.steampowered.com/app/331870]AER Memories of Old[/url] и дать этому плоду внебрачной любви поиграть в [url=pm1.narvii.com/7083/0bcb0544b856fb49e8a9a8679a40abf1832444d8r1-1280-1024v2_uhq.jpg]мир Ксен из Half-Life[/url] ?

""A Story About My Uncle"" - вот что будет. с языка Шекспира это переводится как ""История о моём дяде"". однако игре больше подошло бы название ""История о том как я прыгал туда-сюда четыре часа"", потому что ""дяди"" тут не так много, а вот абьюзного паркура с постоянными рестартами из-за вечных недолётов-перелётов-залётов-вертолётов тут от души: насыпали горкой, не поскупились

[h3]Дядя Фёдор из Простоквашино[/h3]
история у нас тут незатейливая

в г. Темнево живёт безымянный герой. у него есть дядя [strike]Фред[/strike] Фёдор, любящий искать приключения на свой зад. герой узнаёт что дядя Фёдор пропал и приходит к нему домой в поисках чего притырить. в шкафу находит топовый лут в виде мех-брони. надевает. оказывается в этом костюме он может летать как птичка и цепляться крюком-кошкой к стенам (такая сладкая мечта Тони Старка и Питера Паркера). рядом видит телепорт - думает ""ну а чё бы нет?"" - и сягает туда

дальше следуют пять уровней где наш герой прыгает по летучим островкам и пытается отыскать своего заблудшего родственника. в конце [spoiler]выясняется дядя умер много лет назад - а вся игра это плод воображения ребёнка и трибьют дяде Фёдору. затем следует команда ""пустить слезу"", мы делаем вид что нам грустно и разработчики укололи наше сердечко, затем пересматриваем Хатико и обвиняем разработчиков в халтуре[/spoiler]

[h3]паркур-геймплей[/h3]
игра-паркур, прыгалка. уровни состоят из плавучих островков, вертушек, платформ - по ним надлежит двигаться вперёд. в помощь нам даётся чудо-костюм в котором можно парить и крюк-кошка, которым можно зацепиться и на время почувствовать себя Тарзаном на лиане

звучит кошерно, но тут разработчики подумали что ""иначе не будет челенджа"" (клянусь это цитата с форума!) и добавили приколюхи: крюком можно пользоваться только три раза - затем надо коснуться земли чтобы его перезарядить. да, челендж появился, поздравляю, можете ещё руки у меня за спиной завязать а я буду кнопки носом тыкать - хардкор будет

[h3]графоний[/h3]
стартуем мы в хижине дяди Фёдора, которая просто нашпигована деталями: всякие книжки, вырезки из газет, стикеры, пасхалки, - всё это можно посмотреть и почитать. очень лампово и приятно отдаёт ходо-симам типа [url=store.steampowered.com/app/232430]Gone Home[/url]

затем начинаются сами уровни с летучими островками, гигантскими мельницами, тёмными пещерками с иллюмом, замороженными китами - и прямо кайф. хочется просто постоять, почилить и понаделать скриншотов. разрабы душу вложили, насыпали сценарного графония как кило семечек - не поскупились. оптимизация, моё почтение, отличное

потом мы находим первого НПС в игре и охриниваем что он выглядит как жертва пожара на кочегарке. качество графики у персонажей резко падает до уровня [url=store.steampowered.com/app/15740]Oddworld: Munch's Oddysee[/url]. резко бросаются в глаза их топорные анимации и пустые глаза. мне как-то пофиг на графику, я до сих пор гамаю в [url=en.wikipedia.org/wiki/Liero]Liero[/url], тут скорее контраст между залипательными задником и глазо-бурящими НПС шокирует

[h3]так что не так-то?[/h3]
через час игры вскрывается первая грабля которая бьёт по мурлу - кроме прыгалки и крюка в игру больше ничего не завезли: головоломок нет, вражин тоже, дополнительные квесты отсутствуют, дорога прямая как паховая грыжа не заблудишься, открытого мира нет. как итог, остаётся лишь мартышкой прыгать с камушка на камушек

затем из темноты вылетает вторая грабля, залетающая уже прямо между ног (девочек она тактично шлёпает по попе) - и имя этой грабле ""сложность"". физика крюка на манер параболы - игрок не притягивается к предметам, а раскачивается, как праща. тут игра превращается в пиксель-хантинг умноженный на школьный курс алгебры - начинаем судорожно в полёте смотреть куда цепляться крюком, выискивать тайминг когда его отпускать, и просчитывать траекторию движения. последние задания превращаются в аттракцион попыток-и-ошибок под отборные маты от которых кошкам стыдно

знаете в какой момент игра по-настоящему работает? когда игрок прыгает, летает, цепляется крюком и чувствует себя супер-героем этой истории. игра перестаёт работать когда игрок пытается в двадцатый раз оседлать дикую физику крюка, когда не может скорректировать свой полёт в воздухе и перелетает через маленькие островки, и когда скользит по камням а не приземляется на них

разработчики допустили промашку, если первое что игроку приходит в голову глядя на три десятка парящих островков впереди это не ""ееебой щас попрыгаю!"" а ""твою мать, и мне ВСЁ ЭТО надо проходить?"". половина проблем решается гениальной штукой - быстрыми сохранениями. если бы я мог сохранить игру после каждого удачного прыжка кота бориса, то игра прошлась бы за часа два

[h3]коротко всё[/h3]
разработчики и сами знают что игра у них короткая и предлагают окунуться в мир приколов по виду:
- а пройди все уровни ни разу не упав
- а пройди используя крюк не более ИКС раз
- а заспидрань всю игру
...вообщем вытягивают из игрока игро-время как могут. тут охота припомнить [url=store.steampowered.com/app/400]Portal[/url], который тоже подобным гнушался

однако, для этих конкурсов в игре ничего не предусмотрено. индикатора сколько раз был использован крюк нигде нет - считать надо в уме; запоминать столбиком. нам говорят - пройди без падения в бездну, - но кнопки для пропуска надоедливых минутных катсцен нет. один лишь спидран вроде удался но счётчик времени жёсткий, как азиатская бдсм госпожа, ни секунды на ошибку и приходится абьюзить физику

словом, вот и вся игра: короткая, с минимум контента, плоской историей, но красивыми видами; она иногда работает, но начинаешь душнить к концу. жаль, так хотелось дать ей шанс раскрыться"
5,It was not a challenge. but it WAS fun.
6,"One of the first games I ever played... And even now I can remember the best parts of it - cool gameplay mechanics, captivating yet simple story, and a fascinating world to explore..."
7,Character had a child. Child is not with maddie. 0/10.
8,"Fun gameplay. Abrupt story, would've liked a customized made maps for each player to play on."
9,"This game saved my life.

I am 27.

My ex-wife and I have a daughter together, and adopted our son together. They are now both 4 years old.

When we were going through our separation, I found myself lost and miserable. I was self destructive. I got so mad one day from everything spiraling out of my control that I punched some concrete in a moment of overwhelming emotion. That caused me to break my 5th metacarpal in my right hand... my working hand... my games hand.. the hand that I held and carried my children to bed with.. The hand I desperately needed to make sure I could continue to provide.

After learning of the severity of my self-inflicted damage, I was borderline suicidal. Keep in mind that just a few months before this, I was the happiest man with no history of depression or anxiety. I have never had fits of rage, or been one to break down and cry, but I was in a low spot that just really buried me from being able to see the light on the other side.

Having nothing better to do, I searched for a game I could play, ONE HANDED while I recovered. I somehow stumbled upon this game and read some of the reviews. I decided that it had to be worth a shot... I must admit, I didn't beat the game, or play nearly as long as some of you. In fact, I may have only played this game a day or two.. With that being said, after doing so, I had a new found joy and hope for life. I was able to put behind me the pain and suffering that had been cast over me. I was able to experience other peoples joy and happiness. I was able to see the fruits of my ""labor"". I relaxed for 5 ♥♥♥♥ing minutes to this music long enough to realize that I was going to be okay.

After coming to that realization, I turned the game off, and I went back to work. It hurt my hand like hell but I was motivated. I stopped feeling so damn sorry for myself, and I became the father I needed to be in that moment, not the weak boy I was behaving as.

Today, I am close friend with my kids mother. We don't fight, or argue, or say hurtful things to each other. We are parents, and friends.

I now have 3 kids. My third child is, wait for it, ALSO 4 YEARS OLD. The woman I am with was going through a very similar situation at the time of my own separation, and we just stumbled in to each others life unexpectedly. We have been in a relationship for a year now, and are very happy together.

Moral of the story, you never know what life holds in store for you, and if I would have given up when all the odds were stacked against me, I wouldn't be where I am today. This silly little game helped me realize that.

Thank you"
