,0
0,conter striek 👍
1,bruh i can't open this already
2,"Probably not the best game to pour 1000 hours or $1000 into, but for a free game it's pretty fun. Basically a more robust Sven co-op that makes it easy to launch the different game modes. The prophunt mode is great, probably the best I've played, and the user-made scenarios remind me of Spore Galactic Adventures. 

Not a fantastic MMO or Competitive FPS because of player counts, but if you have a group of friends this is a great, free game to mess around with. Most of the stuff that's P2W pertains to the zombies mode, and even then, it's PvE and you can just play on the difficulties that don't require the P2W stuff. I haven't played much of the competitive modes, so I can't say much about that.

As far as Free games go, this one is lightweight, easy to install/get started, and is surprisingly fun as a Gmod or less finicky Sven co-op alternative to play with 4-5 friends. The game tries to do everything and it does a few things quite well, just be wary of the P2W elements. I would not recommend this to solo players whatsoever, though."
3,interesting game i like it alot
4,it's great!
5,the diet coke counter strike online with roblox game mode
6,"Cute kawaii female,but there is no sex."
7,"Cool
"
8,i love babes
9,Korean CS.
10,fery fun omagaaa
11,"MEMBERI LIKE
"
12,game looks fun cant launch it tho lmao
13,The fun is unlimited. Overall to me this game is far Better than counter strike 1.6. CSGO need to learn from this game about adding more gun
14,"I mean its pay to win but you can outsmart the players who spend a lot of money so its kinda balanced, also weapons are too overpowered"
15,spend money to become cat girl
16,Do not play this fucking garbage.
17,its good to play something and dont care about ranks just relax
18,Alot of fun ngl. I just wish it had more players and NA servers :P
19,gg
20,like
21,cute girls killing each other with aks definitely a keeper 9/10
22,counter strike sexon: poopyhole
23,Bring so back memory !
24,"I just wanted to play zombie mod of csgo but there are russian kid role playing of futanari furry gay lions and tigers 
10/10"
25,"У меня игра лагает довольно сильно, но при этом у меня не лагает Counter Strike 1.6 и Counter Strike: Global Offensive, GTX 770, Ryzen 3 3300"
26,what a joke.
27,"750 hours ! WOO! 

Only took like 4-5 years. And a few Long Breaks"
28,nostalgia
29,yes
30,this is the best this is best
31,bad
32,"If you have ever wanted Counter Strike: Online, this is that but being regularly updated. Plus it also is just CS:CZ but with more guns, and more maps. And all the newer maps have built in bot support!"
33,"
"
34,"Good Game, the Exit button is worked perfectly"
35,"best old game
"
36,Weeb sh.i.t
37,"I've been playing this game off and on since like 2015. Its always fun to come back to.
I love the consistent updates and maintenance to fix bugs. I also enjoy the continued development of new game modes. It's easy to not hesitate to come back!"
38,goooooooooooooooooooooooood
39,it crashed.
40,It doesn't even let me plaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaay
41,"Just play GMod Zombie Survival. 

Got kicked off the game by the anti-cheat and it was plagued with micro-transactions and anime skins."
42,s
43,"the goat
"
44,my childhood
45,"Fun game, massive oldschool vibes, and its free! :O!"
46,"so ptw :(, and ptw weapon so op."
47,very good game im really enyoing it . 😎
48,"zombies, half life sounds and chicks"
49,"A very good game and very cool details , i love this game because of the monthly updates and care of managers for this game , Thanks For Counter Strike Nexon:Studio"
50,Nice Game
51,Best Great
52,i fucking hate it
53,uninstalling this is the best decision i have made today. the best decision you can make today is to not install it in the first place
54,I was exiled from my family for playing this
55,i love it
56,Pay to win shit
57,yjkthz
58,"very fun, if you played a lot of cs  1.6 back in the day!"
59,nice
60,hmmm
61,"Last game on ""GoldSrc"" engine. Expected something better, but instead it's simply a nightmare"
62,WIBU
63,"Any clue how to run this game using Sandboxie without getting ""BlackCipher not initialized"" error?"
64,I recommend
65,zombo
66,"Basically a dumpster fire, but the bad kind of dumpster fires.
Game is more than full of pay to win"
67,thisn the sdgame
68,pay tyo win but not pay to fun so it's retarded but cool
69,Playing this game feels like an upside-down erection.
70,Game KOMTOL!
71,i have 12 year on this game
72,Can't enter any lobby anymore.
73,"Giving good vibes, with a lot of modes, is a nice game from series cs but it is made by koreans <3"
74,"Very trash game - 300ms ping, p2w, unplayable content.."
75,Beware of the AntiChrist
76,"CS 1.6 WITH ANIME GIRL AND BADASS WEAPONSSSS

I actually love this game, i stop playing it just because i didn't open it for a year and when i enter i had lost everything i had :("
77,"Stay away from any game with Nexon attached to it, as they are the epitome of greed and bad practices. 
Not only have they made this game into a p2w garbage, they'll wipe accounts at random with no explanations. Fuck Nexon and the hole the crawled out of.  
"
78,Bring me into a nostalgia
79,"kinda p2w, but still fun."
80,Nice game
81,"ITS GOOD
"
82,nice game but is clearly a copy of csgo
83,"good game, needs optimizing"
84,"the chaos of some of the game modes, the people you run into, everything about this I love, this was the first CS Game I ever played, and I am glad im playing it again, THis game is AMAZING!"
85,pay your mom to win
86,"good
"
87,"too much skin
"
88,good game i kill zombey fast
89,"Despite of its graphic that mediocre, this game is so nostalgic."
90,no players
91,Childhood memories
